fecha,ticker,lado,cantidad,precio,monto_usd,motivo,retorno,dias
2025-02-14,COIN,VENTA,66.150803,288.02,19024.17,sale: cayó al puesto #15,-0.0963,46.0
2025-02-14,SPY,VENTA,2.370568,598.1882,1415.92,fondea compras,0.0301,
2025-02-14,AVGO,COMPRA,88.293216,231.1557,20440.09,entra: puesto #1,,
2025-03-18,MSTR,VENTA,45.669228,283.2,12914.13,sale: cayó al puesto #11,-0.1566,90.0
2025-03-18,TSLA,VENTA,49.477638,228.16,11271.88,sale: cayó al puesto #12,-0.4646,68.0
2025-03-18,SPY,VENTA,7.305489,553.918,4040.57,fondea compras,-0.0461,
2025-03-18,BABA,COMPRA,98.797277,142.6371,14113.29,entra: puesto #1,,
2025-03-18,IBM,COMPRA,58.029883,242.843,14113.29,entra: puesto #4,,
2025-04-16,AVGO,VENTA,88.293216,168.4862,14853.88,sale: cayó al puesto #15,-0.2733,43.0
2025-04-16,BRK-B,COMPRA,28.021213,529.3,14853.88,entra: puesto #3,,
2025-05-16,WMT,VENTA,197.732996,95.1152,18779.19,sale: cayó al puesto #12,0.2063,154.0
2025-05-16,MELI,COMPRA,6.765937,2590.5,17553.45,entra: puesto #2,,
2025-05-16,SPY,COMPRA,2.104368,581.6028,1225.74,resto a SPY (100% invertido),,
2025-06-17,BABA,VENTA,98.797277,114.8849,11333.29,sale: cayó al puesto #17,-0.197,65.0
2025-06-17,BRK-B,VENTA,28.021213,489.11,13684.9,sale: cayó al puesto #25,-0.0787,44.0
2025-06-17,SPY,VENTA,2.104368,590.4165,1240.59,fondea compras,0.0121,
2025-06-17,AVGO,COMPRA,52.84306,248.0879,13129.39,entra: puesto #2,,
2025-06-17,JPM,COMPRA,50.061113,261.8744,13129.39,entra: puesto #7,,
2025-07-18,JPM,VENTA,50.061113,284.0852,14200.29,sale: cayó al puesto #15,0.0816,23.0
2025-07-18,MSTR,COMPRA,31.388957,451.72,14200.29,entra: puesto #4,,
2025-08-18,IBM,VENTA,58.029883,233.4997,13529.64,sale: cayó al puesto #21,-0.0414,109.0
2025-08-18,MELI,VENTA,6.765937,2416.3701,16324.48,sale: cayó al puesto #27,-0.07,66.0
2025-08-18,MSTR,VENTA,31.388957,359.95,11281.51,sale: cayó al puesto #12,-0.2055,21.0
2025-08-18,ORCL,COMPRA,56.244472,243.4255,13711.88,entra: puesto #1,,
2025-08-18,COIN,COMPRA,43.955756,311.48,13711.88,entra: puesto #2,,
2025-08-18,C,COMPRA,149.769439,91.4161,13711.88,entra: puesto #5,,
2025-09-17,NFLX,VENTA,231.617252,122.102,28238.51,sale: cayó al puesto #15,0.4554,175.0
2025-09-17,TSLA,COMPRA,44.770506,415.75,18641.26,entra: puesto #5,,
2025-09-17,SPY,COMPRA,14.716619,651.1601,9597.25,resto a SPY (100% invertido),,
2025-10-16,COIN,VENTA,43.955756,338.49,14856.27,sale: cayó al puesto #16,0.0835,43.0
2025-10-16,SPY,VENTA,6.128143,659.7027,4036.69,fondea compras,0.0101,
2025-10-16,BABA,COMPRA,114.32806,165.0046,18892.95,entra: puesto #6,,
2025-11-14,ORCL,VENTA,56.244472,208.8159,11727.12,sale: cayó al puesto #13,-0.1447,64.0
2025-11-14,SPY,VENTA,7.891482,658.278,5187.0,fondea compras,0.0079,
2025-11-14,AMD,COMPRA,70.337696,240.11,16914.12,entra: puesto #1,,
2025-12-16,AVGO,VENTA,52.84306,333.54,17598.84,sale: cayó al puesto #12,0.3404,130.0
2025-12-16,TSLA,VENTA,44.770506,472.21,21109.37,sale: cayó al puesto #23,0.1324,64.0
2025-12-16,BABA,VENTA,114.32806,147.5945,16848.88,sale: cayó al puesto #14,-0.1082,43.0
2025-12-16,INTC,COMPRA,463.500468,37.58,17444.48,entra: puesto #1,,
2025-12-16,CAT,COMPRA,29.667834,587.1122,17444.48,entra: puesto #3,,
2025-12-16,GOOGL,COMPRA,57.229814,304.3579,17444.48,entra: puesto #4,,
2025-12-16,SPY,COMPRA,4.790069,671.9802,3223.66,resto a SPY (100% invertido),,
2026-01-16,AMD,VENTA,70.337696,234.3,16455.4,sale: cayó al puesto #13,-0.0271,45.0
2026-01-16,SPY,VENTA,4.801209,688.284,3299.64,fondea compras,0.0252,
2026-01-16,VALE,COMPRA,1396.299545,14.1269,19755.04,entra: puesto #3,,
2026-03-19,C,VENTA,149.769439,106.2843,15894.26,sale: cayó al puesto #16,0.1592,153.0
2026-03-19,SPY,VENTA,0.685853,651.8784,446.42,fondea compras,-0.029,
2026-03-19,TSM,COMPRA,49.809535,327.572,16340.69,entra: puesto #3,,
2026-04-20,GOOGL,VENTA,57.229814,340.3378,19448.26,sale: cayó al puesto #12,0.1149,89.0
2026-04-20,PBR,COMPRA,980.671735,19.8019,19448.26,entra: puesto #1,,
2026-06-18,PBR,VENTA,980.671735,16.059,15724.97,sale: cayó al puesto #15,-0.1914,43.0
2026-06-18,AMD,COMPRA,29.537259,531.58,15724.97,entra: puesto #2,,
2026-07-21,VALE,VENTA,1396.299545,13.9325,19424.76,sale: cayó al puesto #25,-0.0167,132.0
2026-07-21,LLY,COMPRA,16.993401,1141.3645,19424.76,entra: puesto #8,,
2026-08-19,CAT,VENTA,29.667834,845.0,25031.72,sale: cayó al puesto #13,0.4349,176.0
2026-08-19,BAC,COMPRA,391.304498,63.8741,25031.72,entra: puesto #3,,
2026-09-18,TSM,VENTA,49.809535,429.04,21338.23,sale: cayó al puesto #15,0.3058,131.0
2026-09-18,BAC,VENTA,391.304498,57.52,22474.07,sale: cayó al puesto #12,-0.1022,22.0
2026-09-18,MRK,COMPRA,148.717298,147.08,21906.15,entra: puesto #2,,
