puntaje,top_n,rebalanceo_dias,buffer,max_por_sector,in_retorno_anual (CAGR),in_max_drawdown,in_retorno/caida (MAR),in_compras_por_anio,in_spy_retorno_anual,out_retorno_anual (CAGR),out_max_drawdown,out_retorno/caida (MAR),out_compras_por_anio,out_spy_retorno_anual
r252,8,5,5,no,0.3315514662433259,-0.4642880685194113,0.7141072293772808,26.375981161695446,0.09991605249306557,0.6145057802721312,-0.3855421979440692,1.5938742465780047,27.910360029390155,0.2233035152271916
r252,5,5,5,3,0.34450700429964876,-0.5144144709786966,0.6697070625641784,14.908163265306122,0.09991605249306557,0.7067133258243945,-0.3687081764283773,1.9167281091247397,19.05418809698751,0.2233035152271916
r126,10,5,10,3,0.29353884032370714,-0.4479755490839086,0.6552563882648995,57.33908948194662,0.09991605249306557,0.5902370835756992,-0.34373636643215943,1.7171214372867052,64.9452608376194,0.2233035152271916
mix,10,5,5,3,0.28143386975824747,-0.4317151548233309,0.6518971284976492,80.46585557299844,0.09991605249306557,0.4549708078677981,-0.3371024672513361,1.3496513732976685,83.73108008817047,0.2233035152271916
mix,10,21,5,no,0.27603530929652975,-0.42481912664915,0.6497713779363377,38.608320251177396,0.09991605249306557,0.4309338635953808,-0.3945269569535147,1.092279896215446,44.81759735488612,0.2233035152271916
mix,8,21,10,no,0.26555939758300795,-0.4096177171881705,0.6483103304367449,28.096153846153847,0.09991605249306557,0.33244706422124737,-0.3875912526716676,0.8577259211338977,33.27773695811903,0.2233035152271916
r252,10,5,5,no,0.28941035899398115,-0.4600134605495825,0.6291345445592392,36.88814756671899,0.09991605249306557,0.5928735618180592,-0.377483777202667,1.5705934867228788,36.7665319617928,0.2233035152271916
mix,10,21,10,3,0.2763973197351133,-0.44699536351831715,0.6183449366444871,37.84379905808477,0.09991605249306557,0.3034662375515269,-0.3763390032403008,0.8063640359852816,44.54922850844967,0.2233035152271916
mix,10,5,10,3,0.27424694264968097,-0.4457716249832784,0.6152184824683904,57.72135007849293,0.09991605249306557,0.5009896576154078,-0.3279324803638597,1.5277219781935945,64.14015429831007,0.2233035152271916
r252,5,5,5,no,0.33817503945829186,-0.5506060629443263,0.6141869155052981,13.76138147566719,0.09991605249306557,0.561071514878916,-0.3868668630777532,1.4502961313751777,16.370499632623073,0.2233035152271916
