ticker,cedear,sector,ratio,precio_usd,precio_ars,fecha_ars,ccl_implicito,estado,prima
SNAP,SNAP,Comunicación,1.0,5.447700023651123,8545.0,2026-09-24,1568.5518591152206,barato,-0.029871603224201015
SNOW,SNOW,Tecnología,30.0,340.9800109863281,18630.0,2026-09-25,1639.09901458244,normal,0.013760871171074385
SONY,SONY,Consumo,8.0,23.40999984741211,4717.5,2026-09-25,1612.1315782140862,normal,-0.002918128415169252
SPGI,SPGI,Financieras,45.0,403.2300109863281,14510.0,2026-09-25,1619.2991151696267,normal,0.0015148975604157844
SPOT,SPOT,Comunicación,28.0,509.8500061035156,29360.0,2026-09-25,1612.3957833847546,normal,-0.0027547210422149693
STNE,STNE,Latam / Brasil,3.0,9.085000038146973,4900.0,2026-09-25,1618.051726832826,normal,0.0007434045171319514
T,T,Comunicación,3.0,25.334999084472656,13700.0,2026-09-25,1622.2617519330963,normal,0.003347248870237962
TGT,TGT,Consumo,24.0,155.74000549316406,10480.0,2026-09-25,1614.999300940952,normal,-0.001144480170615081
TM,TM,Consumo,15.0,189.31500244140625,20050.0,2026-09-25,1588.6221172201253,barato,-0.017458416369690144
TMO,TMO,Salud,22.0,669.364990234375,49860.0,2026-09-24,1638.7471947343984,normal,0.013543275289146006
TMUS,TMUS,Comunicación,33.0,165.47000122070312,8100.0,2026-09-25,1615.3985497557137,normal,-0.0008975501055817903
TTE,TTE,Energía / Industria,3.0,91.22000122070312,49460.0,2026-09-24,1626.6169481953914,normal,0.006040879650139219
TXN,TXN,Tecnología,5.0,275.8699951171875,87450.0,2026-09-25,1584.9857097154022,barato,-0.01970748589332738
UAL,UAL,Energía / Industria,5.0,111.31500244140625,35980.0,2026-09-25,1616.134357942411,normal,-0.00044246255948188207
UNH,UNH,Salud,33.0,372.5249938964844,18270.0,2026-09-25,1618.4417418379558,normal,0.0009846235941080028
UNP,UNP,Energía / Industria,20.0,273.8399963378906,22060.0,2026-09-24,1611.1598228901676,normal,-0.003519146117563432
UPST,UPST,Financieras,5.0,24.454999923706055,7870.0,2026-09-25,1609.0779032002822,normal,-0.004806785668163727
USB,USB,Financieras,5.0,58.869998931884766,18900.0,2026-09-24,1605.2318959499344,normal,-0.007185489837927439
VZ,VZ,Comunicación,4.0,47.13999938964844,19050.0,2026-09-25,1616.4616246629164,normal,-0.000240052459339557
WFC,WFC,Financieras,5.0,82.20970153808594,26520.0,2026-09-25,1612.9483202000113,normal,-0.0024129843940898787
XP,XP,Latam / Brasil,4.0,20.1200008392334,8135.0,2026-09-25,1617.2961552043266,normal,0.00027609354596713764
XPEV,XPEV,China,4.0,10.119999885559082,4090.0,2026-09-25,1616.600808794988,normal,-0.00015396893068941875
ZM,ZM,Tecnología,47.0,91.33499908447266,3130.0,2026-09-25,1610.6640551224282,normal,-0.0038257718672286556
TEN,TEN,Energía / Industria,1.0,46.560001373291016,90175.0,2026-09-24,1936.748224662394,ratio o precio a revisar,
TXR,TXR,Materiales / Minería,4.0,235.0,22430.0,2026-09-25,381.78723404255317,ratio o precio a revisar,
SPY,SPY,Índice,60.0,767.4650268554688,20740.0,2026-09-25,1621.4419634190692,normal,0.0028402206121751483
